I'm sad.	悲しいです。
Naturally.	当然だよ。
Birds fly.	鳥は飛ぶ。
Hurry up.	急ぎなさい。
At ease.	安心しなさい。
Birds sing.	鳥が囀る。
I'm a hero.	俺は英雄。
Hurry up.	さあ、急いで。
My stars!	これは驚いた。
No kidding!?	嘘だろ？
He is smart.	利口だね。
Wood burns.	木が燃える。
Obviously.	当たり前だろ。
Stand at ease!	休め！
Fire burns.	火は燃える。
Yes, two.	はい、２個です。
He is sick.	彼は病気です。
Birds sing.	鳥は歌います。
I can jump.	私は飛べます。
Lunch is on.	お昼ですよ。
He is a poet.	彼は詩人だ。
Do not fold!	二つ折り厳禁。
Break a leg.	成功を祈るわ。
My ears burn.	耳がほてる。
I'm a zero.	俺はろくでなし。
I got sick.	悪酔いしました。
Love is blind.	愛は盲目。
Lunch is on.	お昼ごはんよ。
Heads or tails?	表か裏か。
I like cats.	私は猫が好きだ。
Is he breathing?	呼吸は？
You look pale.	顔が青いよ。
Take a bus.	バスに乗りなさい。
Come on, Bill.	ねえ、ビル。
He sighed.	彼が一つため息をついた
The bed is wet.	ベッドが湿る
X is reasonable.	Xが妥当だ
I'm begging you.	頼むよー。
He is asleep.	彼は眠っている。
He jumped on.	彼は飛び乗った。
Post No Bills.	張り紙お断り。
I'm color-blind.	色盲です。
Tastes differ.	趣味は異なる。
Hurry up, Tom.	急いで、トム。
Please hurry.	急いでください。
Yes, it hurts.	はい痛いです。
Yes, I know.	はい知っています。
There is a cat.	ネコがいる。
Yes and no.	そうですが違います。
Mom! Hurry!	お母さん、急いでよ！
He is smart.	あいつは気が利く。
Fill it up.	満タンにしてください。
She is gentle.	彼女はやさしい。
I fell asleep.	私は眠り込んだ。
He looks pale.	彼は顔色が悪い。
Let's ease up.	息抜きしようよ。
I swear, John.	誓うよ、ジョン。
Bite your tongue!	辱を知れ。
I raise funds.	資金を調達する。
I'm married.	私は結婚しています。
I am to blame.	私が悪いんです。
Keiko sings.	恵子さんは歌います。
Let's hurry up.	急ぎましょう。
He looks pale.	顔色が悪いです。
See you tomorrow.	また明日。
Yes, you must.	はい、必要です。
How smart!	なんて頭がいいんだろう。
See you at lunch.	お昼にね。
I sold a book.	私は本を売った。
X is valuable.	Xが価値を持ちます
I guarantee X.	Xを私が保証します
Extremes meet.	両極端は一致する。
Don't be sad.	悲しまないで下さい。
You look sick.	貴方は顔色が悪い。
She looks sad.	彼女は悲しそうだ。
He sang a song.	彼が歌を歌った。
Meat, please.	お肉をお願いします。
The birds sang.	鳥がさえずった。
Let's do lunch!	昼メシにしよう。
How wonderful!	素晴らしいですね！
I want the fan.	扇風機がほしい。
Don't kid me!	人をからかわないで。
Tastes differ.	人の好みは異なる。
It's no joke.	冗談じゃないんだよ。
Laugh and be fat.	笑って太れ。
That's my fault.	私の責任です。
The moon has set.	月が沈んだ。
The moon is risen.	月が出た。
You look pale.	君は顔色が悪いね？
Hurry, help.	急げ、手を貸してくれ。
I hurried home.	急いで帰宅した。
My cheeks burn.	顔がほてります。
All sold out!	みんな売り切れです。
Yes, we can go.	はい、行けます。
Lock the door.	ドアをロックして。
Here's the bus.	そらバスが来た。
Is that a cat?	あれはネコですか。
Yes, I'm coming.	ああ、行くよ。
I give advice.	私がアドバイスをする
X is unknown.	Xが人に知られていない
That's a bit cold.	冷たいなあ。
My eyes smart.	目がヒリヒリします。
I start tomorrow.	明日たちます。
My pulse is slow.	脈が遅いです。
I do not desert.	僕は見捨てない。
Care killed a cat.	病は気から。
She sings well.	彼女は歌がうまい。
They won the day.	彼らは勝った。
He has long legs.	彼は足が長い。
He seems honest.	彼は正直そうだ。
He has long legs.	彼の足は長い。
Grab the bottom.	底を持ってくれ。
The birds sang.	鳥達がさえずった。
Let's eat lunch.	昼食を食べよう。
It may snow.	雪が降るかもしれません。
I broke my leg.	私は足を骨折した。
What a scream!	最高！笑っちゃうよ。
We have no sugar.	砂糖がないよ。
I'm free tonight.	今夜は暇です。
The moon is risen.	月は昇った。
You are to blame.	君が悪いんだ。
You look pale.	顔色がわるいですよ。
Let's split it.	割り勘で行こうよ。
My stomach hurts.	胃が痛みます。
Burn with desire.	愛情に燃える。
Let's take a bus.	バスで行こう。
Tom looks pale.	トムは顔色が悪い。
Who is in fault?	だれが悪いのか。
I'm home, Mom!	ただいま、お母さん。
Judy is smart.	ジュディさんは賢い。
Let's have lunch.	お昼にしよう。
Let's have sake.	お酒を飲もうよ。
Please hurry up!	お願い、急いで！
Here is your bill.	お勘定です。
Happy Easter!	イースターおめでとう。
I feel very sick.	非常に気分が悪い
The storm blew up.	嵐が起こった。
My pulse is fast.	脈がはやいです。
I'll pay the bill.	僕がおごるよ。
