I will do that.	自分がそれをする
One is made up of three thirds.	１の中には１／３が３つ有る
X is on page 14.	Xが１４ページに御座います
Time is up.	もう時間が来た
This will do for the time being.	目下のところこれで間に合うでしょう。
Is it free?	無料なのですか。
It's for free.	無料です。
I'll make it up for you.	埋め合わせをしますよ。
I am in London.	僕は今ロンドンにいます。
I get up at six.	僕は６時に起きるんだよ。
I will.	僕がやります。
I wouldn't do that if I were you.	僕が君ならそうはしないね。
You are from Hokkaido, aren't you?	北海道の御出身ですよね。
Got it!	捕まえた。
The noes have it.	反対投票多数。
I'm from Tokyo, Japan.	日本の東京からきました。
Jiro is not in.	二郎は今いません。
This will do for the time being.	当分の間これで間に合う。
This will do for the time being.	当分の間これでやっていける。
This will do for the time being.	当分これで間に合うだろう。
At that time, I was in Canada.	当時、私はカナダにいた。
It is Saturday.	土曜日だよ。
Is this 223-1374?	電話番号、２２３―１３７４、ですよね？
Is Mr Nakamura at home?	中村さんはご在宅ですか。
Would you page Mr Sawada?	沢田さんを呼び出していただけますか。
You can do it.	大丈夫、出来ますよ。
I'm all for it.	大賛成です。
Do to others as you would have others do to you.	他人にしてもらいたいと思うように、他人に対してしなさい。
We are fifteen in all.	全員で十五名です。
I had V.D.	性病にかかりました。
Do as you would be done by.	人からして貰いたいように人にもなせ。
Do to others as you would be done by.	人からしてもらいたいように人にしてやれ。
Yoshiko is an Anzai.	淑子は安西家の人間だ。
I couldn't get it.	手に入らなかった。
It was seven thirty.	七時三十分だった。
Do to others as you would have others do to you.	自分が人にしてもらいたいと思うように人にもせよ。
Do as you would be done by.	自分が人からしてもらいたいと思うことは人にもせよ。
Do as you would be done by.	自分がしてもらいたいように人にもしなさい。
Don't be overconfident.	自己を過信してはいけない。
Do you have the time?	時間を教えていただけますか。
The time is up to you.	時間はあなたにまかせます。
If I get time, I will.	時間があればそうします。
I have pyorrhea.	歯槽膿漏があります。
I had to have two fillings.	歯を２本詰めなくてはならなかったのです。
We are eleven in all.	私達は全部で十一名です。
I get up at 6:30.	私は六時半に起きる。
I got up at six.	私は6時に起きた。
I got up about six.	私は6時ごろ起きた。
I am American.	私は米国人です。
I am Japanese, but you are an American.	私は日本人ですが、あなたはアメリカ人です。
I was traveling in Japan.	私は日本を旅していた。
I'm from Tokyo.	私は東京出身です。
I couldn't get in.	中には入れなかったよ。
I am from Shikoku.	私は四国出身です。
I'm from Fukuoka in Kyushu.	私は九州の福岡の生まれです。
I have been to Kyoto.	私は京都に行ったことがある。
I am Kazuto Iwamoto.	私は岩本和人です。
I have been to London.	私はロンドンへ行ったことがある。
I have not been to New Zealand.	私はまだニュージーランドへ行ったことがない。
I have been in Paris.	私はパリにいたことがあります。
I have done all that I can.	私はできることはすべてやった。
I use it.	私はそれを使います。
I could not have done it.	私はそれをできなかったでしょう。
I can do it.	私はそれができる。
I have been to Canada.	私はカナダは行ったことがある。
I've been to Australia three times.	私はオーストラリアへ３度行ったことがある。
I'm from Australia.	私はオーストラリアの出身です。
I am an American.	私はアメリカ人です。
I'm from America.	私はアメリカ出身です。
I'm with NTT.	私はＮＴＴで働いています。
I'll be sixteen in September.	私は９月に１６歳になります。
I got up at seven.	私は7時に起きました。
I got home at seven.	私は7時に帰宅した。
I got up about five.	私は５時頃起きた。
I will be sixteen in May.	私は５月には１６歳になる。
I am a Japanese.	私は日本人である。
This is all I can do.	私ができるのはこれだけだ。
I have two sons; one is in Tokyo, and the other in Nagoya.	私には二人の息子があり、一人は東京に、一人は名古屋にいる。
I have no time.	私には時間がありません。
I have no use for it.	私にはそれの必要はない。
We are Australians.	私たちはオーストラリア人です。
We are not Americans.	私たちはアメリカ人ではありません。
I'll get it.	私が出ます。
I'm from Sapporo.	札幌の出身です。
I'll make up for it.	今度、埋め合わせするよ。
I can't make it this time.	今回は出席できません。
Have you got the time?	今何時か分かりますか。
This will do for the time being.	今のところこれで間に合う。
Do to others as you would have others do to you.	己の欲せざる所は人に施す勿れ。
No!	嫌だ！
It's Monday.	月曜日です。
It's up to you.	君次第だよ。
Do you get up at six?	君は六時に起きますか。
You've done it!	君は偉いことをやったね。
You are not to do that.	君はそんなことをしてはいけない。
You could have done it.	君はそれを出来ただろうに。
Do you have one?	君はそれを持っていますか。
You can do it, can't you?	君はそれができますね？
Your time is up.	君のもち時間はもう終わりです。
I will do all I can for you.	君のためにできるだけ骨を折ろう。
Can you do that?	君にあれができますか。
Are you from Kyoto?	京都の出身ですか。
Have you been to Kyoto?	京都には行かれましたか。
Time to get up.	起きる時間よ。
Get up!	起きなさい！
I'm not up for it.	気分が乗らない。
We are forty three in all.	我々は総勢４３名です。
Are you free on Tuesday?	火曜日はお暇ですか。
I'm free.	暇ですよ。
It's my CD.	俺のＣＤじゃねえか。
I can't do it.	俺には無理だ。
