Perfect!	完璧だ！
Trust me!	任せて！
I agree.	同感です。
Speaking.	私ですが。
Almost.	もうちょっと。
X is safe.	Xが安全だ
Cool off!	頭を冷やせ。
I agree.	そう思います。
She walks.	彼女は歩く。
He's strong.	彼は強い。
I trust you.	任せるよ。
Take a rest.	休息しろ。
It's late.	もう遅いわよ。
How deep?	どのくらい深い？
He is nice.	いい人です。
He is happy.	彼は幸せだ。
Time flies.	時早く過ぎる。
I am happy.	私は幸福です。
Pick it up.	それ片づけて。
Play it cool.	落ちついて。
Many thanks.	本当にどうも。
He grew old.	彼は年老いた。
You are late.	遅刻したね。
I trust you.	信じているよ。
Plants grow.	植物が生える。
I feel happy.	私は幸せだ。
Anything new?	何かあった？
We agree.	意見が一致している。
See you later!	また後で。
Speak up!	はっきり言いなさい。
Come along.	さあ、来たまえ。
He grew old.	彼は年を取った。
He is eating.	彼は食事中だ。
Don't be late.	遅れるなよ。
I like cats.	私は猫が好きだ。
I'm a doctor.	私は医者です。
I took a walk.	散歩をした。
Get the dream.	夢をつかめ！！
Some fish fly.	飛ぶ魚もいる。
She is happy.	彼女は幸せです。
He is a doctor.	彼は医者だ。
What happened?	何があったの？
OK. I agree.	よろしい、賛成だ。
Happy New Year!	よいお年を。
All are happy.	みんな幸せだ。
There is a cat.	ネコがいる。
Open the door.	ドアを開けて。
Come along.	さあ、一緒に来いよ。
How nice of you!	ご親切に。
Ken is happy.	ケンは幸福です。
Ken is happy.	ケンは幸せです。
I'm out of gas.	ガス欠です。
What happened?	何が起きたの？
Summer has come.	夏が来た。
It's necessary.	必要が有ります
Are you ready?	用意はいいかい。
Fill it up.	満タンにしてください。
Shall we walk?	歩きましょうか。
He will walk.	彼は歩くつもりだ。
He seems kind.	彼は親切そうだ。
Get on a horse.	馬に乗せてよ。
Time flies.	時は飛ぶように過ぎる。
I am ready.	私は覚悟ができている。
We are happy.	私たちは幸福です。
Are you happy?	君は幸せですか。
Enjoy your trip.	楽しい旅を。
Summer is gone.	夏は終わった。
It was nothing.	何でもないよ。
What happened?	何が起こったの？
Give me a shot.	一杯ください。
Want a drink?	一杯いかがですか。
Have a nice day!	よい１日を。
Hi! How are you?	やあ！元気？
Ladies first.	ご婦人からどうぞ。
No, thank you.	いえ、結構です。
Move along now.	立ち止まるな。
I feel happy.	私は幸せに感じる。
I guarantee X.	Xを私が保証します
X was suggested.	Xが示唆された
Call the police!	警察を呼んで！
Dreams came true.	夢は叶った。
I'm so happy.	僕はとてもうれしい。
Listen to this!	聞いて、聞いて！
I see double.	物が二重に見えます。
She is beautiful.	美人だなあ。
She is active.	彼女は行動的です。
They are happy.	彼らは幸せです。
He is a big shot.	彼は大物だ。
Is he a doctor?	彼は医者ですか。
He's nothing.	彼はつまらない男だ。
It's my brother's.	弟のです。
