Die!	死ね！
Really?	本当に？
Action!	演技はじめ！
Hold it!	動かないで！
Speaking.	私ですが。
I'm free.	暇ですよ。
Almost.	もうちょっと。
But why?	しかしなぜ。
I'm young.	僕は若い。
See above.	前記参照。
I am sure.	確かだよ。
Why me?	何でわたしなの？
Why me?	どうして私なの？
Who cares?	知るもんか。
I'll pay.	私が払います。
I'm broke.	金欠なんだ。
Of course.	もちろんさ。
Why not?	なぜいけないか。
How big?	どのくらい広い？
It's true.	これ本当さ！
Take care!	用心しなさい。
No problem!	問題ないよ。
I'm broke.	文無しなんだ。
He's strong.	彼は強い。
Never mind!	心配するな。
Take a rest.	休息しろ。
Take care.	気を付けてね。
Never mind!	気にするな。
Never mind!	何でもない。
How deep?	どのくらい深い？
Why not?	どうしてダメなの？
Take care.	お体を大切に。
Take care.	お気をつけて。
I felt ～.	私は〜と感じました
Don't talk!	話しかけるな。
Let's play.	遊びましょう。
He is kind.	優しい人です。
It was night.	夜だった。
Is that true?	本当なの？
Do you? Why?	本当？なぜ？
Don't ask.	聞かないでくれ。
Is it white?	白いですか。
No problem!	大丈夫ですよ。
Follow me.	私についてきて。
Do or die.	死ぬ覚悟でやれ。
Turn it off.	それ消して。
You called?	お呼びですか。
X is possible.	Xが可能だ
Get real!	冷静に考えて見ろよ！
Is it free?	無料なのですか。
It's for free.	無料です。
She is kind.	彼女は親切だ。
He's broke.	彼は一文なしだ。
I hope so.	私はそう望みます。
Anything new?	何かあった？
I'm so full.	もう満腹です。
Speak up!	はっきり言いなさい。
It's white.	それは白いです。
I hope so.	そうだといいけど。
Leave now.	すぐ出発しなさい。
Come along.	さあ、来たまえ。
No problem!	お安い御用です。
Leave it to me.	任せろよ。
Leave it off.	消しておいて。
I'm free now.	私は今暇です。
Money talks.	金がものを言う。
I feel my age.	もう年だよ。
Mike smiled.	マイクは笑った。
It is a book.	それは本です。
Now tell me.	さあ話したまえ。
I want money.	お金が欲しい。
I stopped X.	Xをわたしが止めた
It's a problem.	問題だなあ。
Make it real.	本物を追求しろ。
Do you hear me?	聞いてるの？
Do you follow?	分かりますか。
Go for broke!	当たって砕けろ。
Stop talking.	喋るのをやめろ。
Answer me.	私の質問に答えなさい。
Open the door.	ドアを開けて。
Who cares?	だれが気にするもんか。
Come along.	さあ、一緒に来いよ。
It's this book.	この本です。
It sounds great!	いい案だ！
The leaves fell.	葉が落ちた。
Night came on.	夜がやってきた。
I'd like a book.	本を下さい。
I believe you.	僕は君を信じる。
Do you read me?	聞こえますか。
She smiled.	彼女はにっこり笑った。
Don't stop him.	彼をとめるな。
He looks young.	彼は若そうだ。
Will he die?	彼は死ぬでしょうか。
Let's ask him.	彼にたずねよう。
My water broke.	破水しました。
Act your age.	年相応にふるまえ。
I want a book.	私は本が欲しい。
I don't mind.	私は構いませんよ。
It's business.	それが仕事です。
