Birds fly.	鳥は飛ぶ。
Good luck.	元気でね。
Good luck!	頑張れよ。
Holy cow!	何てこった。
X is vital.	Xが肝要だ
Birds sing.	鳥が囀る。
What a pity!	残念だ！
Good luck!	幸運を祈るよ。
Brilliant!	すごいじゃん。
Any fever?	熱はありますか。
Birds sing.	鳥は歌います。
Shame on you!	恥を知れ！
Please relax.	落ちつけよ。
I'm awake.	目は覚めています。
My head aches.	頭が痛い。
What a pity!	全く気の毒だ。
Excuse me.	失礼。すみません。
Are you mad?	狂ったのかい？
You're tough.	タフだなあ。
He hung up.	彼は電話を切った。
It's occupied.	入ってます。
I fainted.	私は気を失いました。
Are you crazy?	気は確かか。
That's crazy.	そんな馬鹿な。
Excuse me.	あのー、失礼ですが。
Dawn breaks. 	白々と夜が明ける
Ghosts exist.	幽霊は存在する。
He was brave.	彼は勇敢だった。
He is delicate.	彼は繊細だ。
My head aches.	頭痛がします。
Don't hang up!	切らないでよ！
I bit my lip.	私は唇を噛んだ。
I was lucky.	私は運が良かった。
I felt hungry.	空腹を感じた。
You are a snake!	陰険な奴。
What a shame!	それは悲惨だな。
I was hungry.	おなかが空いた。
She is a twin.	彼女は双子です。
He dug a hole.	彼は穴を掘った。
Birds lay eggs.	鳥は卵を産む。
For shame!	恥を知れ、みっともない。
I ache all over.	体中が痛む。
I like cake.	私はケーキが好きだ。
I raise cattle.	牛を飼育する。
I rear cattle.	家畜を飼育する。
I ache all over.	体中が痛い。
Good luck to you!	お元気で！
Am I hungry!	ああ、お腹が空いた。
I emphasized X.	Xを俺が強調した
He has guts.	彼は腹が据わっている。
The curtain fell.	幕が下りた。
We're in luck.	僕らはついてるよ。
He is my boss.	彼は私の上司です。
I have a fever.	熱があるんです。
Don't shout.	怒鳴ってはいけません。
The birds sang.	鳥がさえずった。
I need somebody.	誰かきてくれ。
It is pitch dark.	真っ暗闇だ。
I fix the terms.	条件を決める。
May I be excused?	失礼します。
I'm all thumbs.	私は不器用です。
I am pregnant.	私は妊娠している。
I have a chill.	寒気がしますよ。
Bite the bullet.	我慢してくれ。
What a pity!	何と残念なことだろう。
Tom is absent.	トムは休んでいる。
I'm on a diet.	ダイエット中です。
Please confirm.	ご確認ください。
