Is he right?	彼は正しいですか。
Is he still here?	彼はまだここにいますか。
Is he studying now?	彼は今、勉強していますか。
Is it Japanese food?	それは日本の食べ物ですか。
Is it not black?	それは黒くありませんか。
Is it open on Sunday?	日曜日でも開いてますか。
Is it white?	白いですか。
Is room service still available?	ルームサービスはまだやっていますか。
Is she all right?	あの人は変わりはないですか。
Is she any better today?	彼女は今日いくらかいいですか。
Is that your room?	これはあなたの部屋ですか。
Is the play still running?	その劇はまだ上演中ですか。
Is there a Percy in your class?	パーシーという人が君の組にいますか。
Is there a hotel around here?	この辺にホテルはありますか。
Is there a post office around here?	このあたりに郵便局はありますか。
Is there a problem?	悪いところがありますか。
Is there a public phone around here?	このあたりに公衆電話はありませんか。
Is there a table available for two on Friday?	金曜日、２人分予約できますか。
Is there an index to the book?	その本には索引がついていますか。
Is there any food you don't like?	嫌いな食べ物ってありますか？
Is there any room for me?	私が入る場所がありますか。
Is there any special news in today's paper?	今日の新聞に何か特別なニュースがありますか。
Is there life on other worlds?	地球以外の天体に生物はいますか。
Is this Canadian money?	それがカナダのお金なの？
Is this information right?	この情報は正しいか。
Is this love?	恋かな？
Is this my life?	これが人生なのか。
Is this new model available on the market?	この新しい型は市場で手に入りますか。
Is this the first time for you to have Japanese food?	日本料理は初めてですか。
Is this what you've wanted for a long time?	これですか、あなたが長い間欲しがっていたものは。
Is this your first visit here?	初めての診察ですか。
Is this your first visit to Japan?	初めての日本訪問ですか。
Is this your first visit to Japan?	日本は初めてですか。
Is this your first visit?	初診ですか。
Isn't it black?	黒くないのですか。
It being Sunday today, we have no school.	今日は日曜日なので学校は休みだ。
It being Sunday, the shops were not open.	日曜日だったので、どの店も開いてなかった。
It being Sunday, we have no classes today.	日曜日なので、今日は授業がありません。
It can be used for a long time.	利用期間が長期間に渡る
It comes with a special case.	それには専用のケースが付属します
It doesn't bother me at all.	Xが全く苦にならない
It doesn't go with the room at all, but I got it for free so it's all good!	全然部屋に似合わないけど、貰ったから良し！
It doesn't pay to play video games.	ビデオゲームは割に合わない。
It doesn't take very long.	そう長くはかからない。
It goes without saying that I love you.	君を好きなのは言うまでもない。
It goes without saying that he's the best person for the job.	彼がその仕事に適しているということは言うまでもない。
It goes without saying that time is money.	時は金なりとは言うまでもない。
It had been a long time since he played a game for that long.	彼が久しぶりに長時間ゲームをやった
It has a value all its own.	それにはそれなりの価値がある。
It has been a long time since I wrote you last.	ご無沙汰しています。
It has been as many as ten years since I started to live in Tokyo.	東京に住みはじめて１０年も経ってしまっている。
It has been long since they said the time of local government had come.	地方自治体の時代が来たといわれてから久しい。
It has been six months as of today. 	今日でちょうど半年を迎えました
It has been ten years since I came here.	私がここに来てから１０年になります。
It has been ten years since I saw her last.	彼が彼女に最後に会ってから十年になります。
It has been ten years since I saw her last.	彼女に最後に会ってから１０年になります。
It has been ten years since I saw her last.	私が彼女に会ってから１０年になります。
It has been ten years since I saw her last.	私が彼女に最後にであってから１０年になります。
It has been ten years since I saw her last.	私が彼女に最後に会ってから１０年になります。
It has been three years since I came to live here.	ここに住むようになってから３年になります。
It has been twenty years since I saw you last.	私がこの前あなたにお会いしてから２０年になります。
It has been two years since he came to Japan.	彼が日本に来て二年になります。
It is Egypt that he wants to visit.	彼が行きたがっているのはエジプトだ。
It is Monday today.	今日は月曜日です。
It is Paris that I want to visit.	私が訪れたいのはパリです。
It is Pochi's food.	それはポチの食べ物です。
It is a long story.	話せば長いことなのです。
It is a long time since I saw you last.	この前会ってからずいぶん経ちましたね。
It is a small world!	世間は狭いですね。
It is all over with him.	彼はもうだめです。
It is all the same to me where he goes.	彼がどこへ行こうと私には同じ事だ。
It is all up with him by this time.	今頃彼は万事休すだ。
It is another story now.	今では事情が変わってきた。
It is at best a second-rate hotel.	それはせいぜい二流のホテルだ。
It is better for the health to live in the country than in the city.	都会に住むより田舎に住む方が健康に良い。
It is better not to go out of your field.	畑違いの事はしない方がいい。
It is five years since they came to Japan.	彼らが日本にきてから５年になる。
It is five years to a day since I came here.	私が当地へ来てからちょうど５年です。
It is good to keep studying all your life.	一生懸命し続けることはいいことだ。
It is just an act.	それは芝居にすぎない。
It is more than five years since I last saw him.	私がこの前彼に遭ってから５年以上になる。
It is more than ten years since we came to live here.	当地に住み着いてから１０年以上になる。
It is no use asking for her help.	彼女の援助を求めても無駄である。
It is no use asking me for money.	私に金をせがんでもむだだ。
It is no use going to school if you are not going to study.	勉強しなければ学校へ行ってもむだだ。
It is not good that you did not ask her name.	君が彼女の名前を尋ねなかったのはよくない。
It is not good, to say the least.	控え目に言ってもこれは良くない。
It is not money but time that I want.	私がほしいのは金ではなく時間だ。
It is of great value.	それは大変価値がある。
It is of little value.	それはほとんど価値が無い。
It is our policy not to give out personal information.	個人に関する情報は、教えないのが私どもの方針です。
It is reported in the local news.	それは地方のニュースに出ている。
It is right that you should write it.	君がそれを書くのは正しい。
It is said that Yamada and Sato are in the same class.	山田と佐藤はクラスが同じと言う
It is said that he is in Britain.	彼はイギリスにいるそうだ。
It is said that he wrote this book.	彼がこの本を書いたと言われています。
It is six years since I started to study English.	私は英語を始めてからもう６年になる。
It is smaller than Tokyo.	それは東京より小さい。
It is ten years since I came to Tokyo.	私が東京に来てから十年になります。
It is ten years since I came to live here.	ここで暮らすようになってから１０年になる。
It is ten years since I came to live in Shizuoka.	静岡に来てから１０年になります。
It is ten years since he came to Japan.	日本に来てから十年になります。
It is the longest in the world.	世界最長なのです。
It is the same even if there are changes.	変更があったときも同様とする
It is time you get down to work.	そろそろ本気で仕事に取り組むころだよ。
It is two years since I came here.	私がここへ来てから二年になる。
It is up to us to help those people.	それらの人々を助けるのが我々の義務である。
It is up to you to support him.	彼を養うのは君の責任だ。
