Last call!	ラスト・オーダーは締め切らせていただきました。
Learn a little at a time.	一度に少しずつ学びなさい。
Live and learn.	生きていれば学べる。
Live and learn.	長生きして学べ。
Look at my new car.	僕の新車を見ろよ。
Look at the car made in Japan.	日本製の車を見て下さい。
Look in the phone book.	電話帳をみて。
Look out for the car.	車に注意しなさい。
Look out! There's a car coming.	気を付けろ。車が来ているぞ。
Look out! There's a car coming.	気を付けろ！車が来るぞ。
Mac knows how to use this computer.	マックはこのコンピューターの使い方を知っている。
Make way, please.	道を空けてください。
Man has been writing for about 6000 years.	人間は６、０００年もの間、書く能力を持ち続けている。
Mary came up to me when she saw me.	メアリーは私を見ると近づいてきた。
Mary has just come home.	メアリーはただいま戻ったところです。
Mary is such a worrywart.	メアリーは本当に心配症ね。
Masao won't come here, will he?	まさおはここに来ないでしょうね。
May I call on you some day?	いつかあなたを訪問してもいいですか。
May I come and see you now?	今君に会いに行ってもいいですか。
May I come in?	入ってもよろしいですか。
May I come to see you one of these days?	近いうちにあなたに会いに行ってもよろしいですか。
May I go out to play when I have read this book?	この本を読んでしまったら遊びに行っていい？
May I go out to play?	外に遊びに行ってもいいですか。
May I have this book?	この本をいただいてもいいですか。
May I use the phone?	電話を拝借できますか。
May I use your phone?	あなたの電話を使ってもいいですか。
May I use your phone?	お電話をお借りしてもよろしいですか。
May I use your phone?	君の電話を借りていいか。
May I use your phone?	電話を貸してもらえませんか。
Mayuko called me back.	マユコは私を呼び戻した。
Might I come in?	入っても良いでしょうか。
Might I use your phone?	電話をお借りしてもよいでしょうか。
Might I use your phone?	電話をお借りできますか。
Monday through Friday are work-days in this company.	この会社では、月曜日から金曜日まで仕事をします。
Mr Ikeda wants to buy a new car.	池田さんは新しい車を買いたがっています。
Mr Sato called at eleven.	佐藤さんから１１時に電話がありました。
Mr Smith has lived in Kyoto for three years.	スミスは３年間京都に住んでいる。
Mr Smith lives in Kyoto now.	スミスさんは今京都に住んでいる。
Mr Tanaka, you are wanted on the phone.	田中さん、電話ですよ。
Mr Yamada, you are wanted on the phone.	山田さんお電話です。
Mr. Smith has come.	スミスさんが来ました。
Mr./Ms. Yamada bought a car for the first time.	山田んが初めて車を買った
Ms. Tanaka can type, can't she?	田中さんはタイプが打てるんでしょう。
My car is German.	私の車はドイツ製です。
My car is a Toyota.	私の車はトヨタの車です。
My car is a Toyota.	私の車はＴＯＹＯＴＡの車です。
My car is a used one.	私の車は中古だ。
My car won't start.	私の車はなかなか動かない。
My car's in the shop.	僕のは今修理中なんだよ。
My company is sending us all to Hakone this year.	会社の慰安旅行で箱根に行きます。
My name is James, but please call me Jim.	私の名前はジェームスです。でもジムと呼んで下さい。
My plan is to buy a car.	私の計画は車を買うことです。
My thinking did a 180.	１８０度自分の考え方が変わりました
Nancy did some shopping on the way.	ナンシーは途中で買い物をした。
Naoko came back to Japan.	直子さんは日本に戻ってきた。
Ned comes from the state of Utah.	ネッドはユタ州の出身。
Next time you come to see me, I will show you the book.	今度遊びに来たときに、君にその本を見せましょう。
No one is coming.	誰も乗ってこないだろう。
No one man could do it.	だれでも一人でそれはできないだろう。
No one thinks so.	誰もそう思わない。
No other man could do my work.	ほかの人は私のやっていることが出来ないだろう。
No other man could do my work.	他の人には私のやっている仕事はできないだろうに。
No other man could do my work.	他人には私のやっている仕事はできないだろう。
No other man could do my work.	他人には私の仕事はできないでしょうに。
No other way.	他に道はない。
No way.	絶対無理だね。
No, I don't think so.	そうは思えないねえ。
No, she didn't.	いいえ、書きませんでした。
No, she didn't.	いいえ、行きませんでした。
Not all books are good books.	すべての本が良い本というわけではない。
Not now, then when?	今でなければ一体いつだ？
Now and then, we go to London on business.	ときどき、私たちは商用でロンドンへ行く。
Now some Pharisees who had been sent.	彼らはパリサイ人の中から遣わされたのであった。
Now there was a man of the Pharisees named Nicodemus.	さて、パリサイ人の中にニコデモという人がいた。
Now, what do you think?	どう思う？
Oh! I know the man.	あぁ、私はその男を知っています。
Oh, I didn't like the ending.	僕はエンディングが気に入らなかったな。
Oh, and Andy Dillon called...	アンディ・ディロンさんからお電話がありまして・・・。
Oh, but this is great.	でも素敵だわ。
Oh, by the way, do you know where she lives now?	ああ、ところで彼女が今どこに住んでいるか知ってるかしら。
Oh, come off it.	まぁ、そんなに格好つけるのやめとけよ。
Oh, come on.	またそんなこと言って。
Oh, here they come!	あっ、彼等が来る。
Oh, please call me Angela.	あら、アンジェラと呼んでください。
One lives in Fukuoka, and the others live in Niigata.	１人は福岡に住んでいて、残りは新潟に住んでいます。
One way is not better than the other.	どちらかが他方よりいい、というのではない。
Only one way to live.	道はただひとつ。
Our plan is made.	計画はできた。
Our plan will work out well.	私たちの計画はうまくいくだろう。
Our school starts at 7:15.	私たちの学校は７時１５分に始まります。
Paris is the center of the world, in a way.	パリはある意味で、世界の中心である。
Phone me the news.	電話でそのニュースを知らせてね。
Play Chopin for me.	私にショパンを弾いてください。
Play the part of Hamlet.	ハムレットの役を演じろ。
Please buy me this book.	この本を私に買って下さい。
Please call me Joe.	私をジョーと呼んで下さい。
Please call me at about 7:30.	７時３０分ごろに電話をください。
Please call me at any time.	いつでも電話をしてください。
Please call me up if you want me.	ご用のときはお電話ください。
Please come and see me any time.	いつでも遊びに来て下さい。
Please come and see me if you have time.	お時間があれば、どうぞ私に会いに来て下さい。
Please come in one by one.	どうぞ一人ずつお入りください。
Please come in three days.	３日後に来てください。
Please come in.	どうぞ、お入り下さい。
Please come in.	どうぞなかへおとおりください。
Please come next Friday.	次の金曜に来てください。
Please come over if you have time.	時間があったら来てください。
Please come this way.	どうぞこちらへおいで下さい。
Please come to see me from time to time.	時々は会いに来て下さい。
Please come.	来て下さい。
Please contact me by mail.	手紙で連絡ください。
Please do it this way.	このようにして、それをやって下さい。
Please get into the car.	どうぞお乗り下さい。
Please give me a call.	私に電話して下さい。
Please give me this book.	この本を私に下さい。
Please read that book.	その本を読みなさい。
Please send for help.	助けを呼びにやってください。
Please send the book by mail.	その本を郵便で送ってください。
Please show me this book.	私にこの本を見せてください。
Please think about it.	どうぞお考え下さい。
Please write about your home.	あなたの家庭のことを書いて下さい。
Please write to me from time to time.	ときどきは手紙を書いてね。
Please write to me when you get there.	あちらに着いたら手紙をください。
Power off the computer.	一度パソコンの電源を切ります
Read these books, or at any rate this one.	これらの本を読みなさい、少なくともこの本は。
Read this book.	この本を読みなさい。
Read through the article.	その記事を最後まで読みなさい。
Sawako wants to go to France.	佐和子はフランスに行きたい。
School starts at 8:40.	授業は８時４０分から始まる。
School starts in April.	学校が始まるのは４月です。
School starts in September in Europe.	ヨーロッパでは学校は９月に始まる。
School starts next Monday.	学校は今度の月曜に始まる。
See you then.	じゃあその時に。
See you then.	その時に会いましょう。
Send her in, and I will see her now.	彼女を通しなさい、すぐ会うから。
Send it by mail.	それを郵便で送ってくれ。
Send me there.	私をそこにやって下さい。
Shall I call Ken back?	ケンにあとでこちらから電話しましょうか。
Shall I come for you?	迎えにきましょうか。
